,Date,Open,High,Low,Close,Adj Close,Volume
72,2017-05-19,11.22,11.83,11.08,11.78,10.289971000000001,29341100.0
73,2017-05-26,11.76,11.95,11.58,11.95,10.438467,16803500.0
74,2017-06-02,11.99,12.0,11.43,11.56,10.097798,26346100.0
75,2017-06-09,11.53,12.05,11.53,11.92,10.412264,21577000.0
76,2017-06-16,11.94,11.98,11.49,11.57,10.106534,19600000.0
77,2017-06-23,11.6,11.84,11.11,11.16,9.748393,29172000.0
78,2017-06-30,11.18,11.25,10.6,10.68,9.329108,18021900.0
79,2017-07-07,10.69,11.23,10.63,11.02,9.626101,27811400.0
80,2017-07-14,11.11,11.43,10.97,11.37,9.93183,18822900.0
81,2017-07-21,11.38,11.45,11.02,11.1,9.695984,22062600.0
82,2017-07-28,11.09,11.26,10.92,11.12,9.713451,42378000.0
83,2017-08-04,11.08,11.66,10.96,11.38,10.048422,36845700.0
84,2017-08-11,11.34,11.34,10.94,11.01,9.721715,21106500.0
85,2017-08-18,11.02,11.43,10.99,11.4,10.066078,20323900.0
86,2017-08-25,11.42,11.52,11.03,11.04,9.748205,19397200.0
87,2017-09-01,11.08,11.18,11.02,11.15,9.845331,12518400.0
88,2017-09-08,11.16,11.44,11.12,11.26,9.942461,21330300.0
89,2017-09-15,11.24,11.45,11.13,11.13,9.827672,24322200.0
90,2017-09-22,11.18,11.28,11.0,11.08,9.783522,21291500.0
91,2017-09-29,11.08,11.32,11.01,11.29,9.96895,17351700.0
92,2017-10-06,11.24,11.31,11.15,11.22,9.907142,15324100.0
93,2017-10-13,11.27,11.34,11.07,11.29,9.96895,14373400.0
94,2017-10-20,11.3,11.31,10.69,10.86,9.589264,23839600.0
95,2017-10-27,10.82,10.93,10.46,10.79,9.527455,30942900.0
96,2017-11-03,10.72,10.77,10.28,10.3,9.197558,29153700.0
97,2017-11-10,10.25,10.97,10.0,10.77,9.617251,57658800.0
98,2017-11-17,10.77,10.79,10.51,10.68,9.536883,19812900.0
99,2017-11-24,10.73,10.79,10.5,10.58,9.447587,25517800.0
100,2017-12-01,10.62,10.94,10.54,10.7,9.554742999999998,29989900.0
101,2017-12-08,10.72,10.95,10.5,10.63,9.492237,25363600.0
102,2017-12-15,10.68,11.02,10.43,10.62,9.483307,59917300.0
103,2017-12-22,10.61,10.84,10.58,10.76,9.608322,13201300.0
104,2017-12-29,10.77,10.97,10.74,10.83,9.670829,20670000.0
105,2018-01-05,10.86,10.99,10.64,10.96,9.786914999999999,34657800.0
106,2018-01-12,10.97,11.95,10.67,11.53,10.295905,58248200.0
107,2018-01-19,11.59,11.81,11.06,11.49,10.260187,69472900.0
108,2018-01-26,11.55,11.92,11.46,11.51,10.278048,65886500.0
109,2018-02-02,11.35,11.49,10.05,10.06,9.084973,59415700.0
110,2018-02-09,10.13,10.52,9.87,10.52,9.500389,38695900.0
111,2018-02-16,10.44,10.61,10.23,10.3,9.301712,25205400.0
112,2018-02-23,10.36,11.32,10.33,10.96,9.897741,57584300.0
113,2018-03-02,10.9,11.1,10.7,10.84,9.789374,40621300.0
114,2018-03-09,10.86,10.88,10.49,10.69,9.653912,32898400.0
115,2018-03-16,10.73,11.04,10.63,10.82,9.771312,32908900.0
116,2018-03-23,10.91,11.43,10.66,11.37,10.268006,40345300.0
117,2018-03-30,11.38,11.57,11.19,11.5,10.385406,41692800.0
118,2018-04-06,11.47,11.56,11.25,11.29,10.195758999999999,26727700.0
119,2018-04-13,11.33,11.83,11.31,11.75,10.611175999999999,26041800.0
120,2018-04-20,11.74,12.25,11.58,12.17,10.990468,31581400.0
121,2018-04-27,12.16,12.45,12.05,12.3,11.107867,33784100.0
122,2018-05-04,12.28,12.4,11.66,12.31,11.23555,44673400.0
123,2018-05-11,12.34,12.41,12.01,12.05,10.998247000000001,28762900.0
124,2018-05-18,12.06,12.43,11.8,12.39,11.30857,27264200.0
125,2018-05-25,12.39,12.86,12.3,12.75,11.637149,23381600.0
126,2018-06-01,12.71,13.25,12.47,12.72,11.609767,40865000.0
127,2018-06-08,12.71,13.35,12.6,13.18,12.029617,29121900.0
128,2018-06-15,13.13,13.28,12.84,12.89,11.76493,36030200.0
129,2018-06-22,12.95,13.56,12.77,13.51,12.330813000000001,38324400.0
130,2018-06-29,13.51,13.53,12.8,12.97,11.837947,23283600.0
131,2018-07-06,12.96,13.14,12.55,13.1,11.9566,33581400.0
132,2018-07-13,13.12,13.21,12.71,13.03,11.892710000000001,34950300.0
133,2018-07-20,13.03,13.58,12.92,13.4,12.230414,32397700.0
134,2018-07-27,13.45,13.59,13.26,13.55,12.367322999999999,43046500.0
135,2018-08-03,13.28,14.0,13.23,13.74,12.66295,38175900.0
136,2018-08-10,13.71,13.93,13.35,13.87,12.782759,32428900.0
137,2018-08-17,13.76,14.11,13.7,14.01,12.911783999999999,20221000.0
138,2018-08-24,14.07,14.1,13.83,13.9,12.810408,21839500.0
139,2018-08-31,13.87,13.87,13.09,13.28,12.239008,34557700.0
140,2018-09-07,13.16,13.49,13.0,13.45,12.395681,36727100.0
141,2018-09-14,13.4,13.86,13.39,13.81,12.727463,33631900.0
142,2018-09-21,13.82,14.01,13.49,13.7,12.626086,33849600.0
143,2018-09-28,13.7,14.73,13.68,14.51,13.372591,34011000.0
144,2018-10-05,14.56,15.11,14.31,14.44,13.308076999999999,34897800.0
145,2018-10-12,14.46,15.39,14.37,14.8,13.639857999999998,31515900.0
146,2018-10-19,14.88,15.14,14.54,14.71,13.556911999999999,36628200.0
147,2018-10-26,14.67,14.85,14.39,14.74,13.584563000000001,32969600.0
148,2018-11-02,14.74,16.280001000000002,14.59,15.67,14.569464000000002,39335100.0
149,2018-11-09,15.56,15.73,15.13,15.42,14.337023,27485000.0
150,2018-11-16,15.59,15.63,14.67,15.07,14.0116,24712700.0
151,2018-11-23,15.03,15.55,14.96,15.44,14.355617,26228600.0
152,2018-11-30,15.44,15.76,15.04,15.45,14.364914,27421500.0
153,2018-12-07,15.49,16.02,15.41,15.78,14.671738000000001,29076900.0
154,2018-12-14,15.76,15.96,14.39,14.69,13.65829,50181500.0
155,2018-12-21,14.62,14.77,13.55,14.29,13.286385000000001,38936200.0
156,2018-12-28,14.36,14.6,13.97,14.17,13.174810999999998,24391500.0
157,2019-01-04,14.21,15.37,14.2,15.34,14.262639000000002,24456100.0
158,2019-01-11,15.34,15.66,14.78,15.49,14.402103,28174100.0
159,2019-01-18,15.46,15.92,15.31,15.9,14.783309,19187600.0
160,2019-01-25,15.9,16.42,15.74,16.389999,15.238895000000001,29318200.0
161,2019-02-01,16.4,17.129998999999998,16.370001000000002,17.110001,16.043255,26159600.0
162,2019-02-08,17.08,17.459999,16.950001,17.059998999999998,15.996372000000001,23961500.0
163,2019-02-15,17.17,17.34,16.860001,17.32,16.24016,22800500.0
164,2019-02-22,17.4,17.6,16.870001000000002,17.23,16.155775,26017800.0
165,2019-03-01,17.290001,17.950001,16.879998999999998,17.67,16.568344,39791900.0
